Node_label	Rhodopsin
Leiopelmatidae      	green
Ascaphidae 	green
Bombinatoridae     	green
Alytidae         	green
Rhinophrynidae     	green
Pipidae         	green
Scaphiopodidae    	green
Pelodytidae 	green
Pelobatidae     	green
Megophryidae      	green
Heleophrynidae     	green
Rhinodermatidae	green
Brachycephalidae 	green
Craugastoridae    	green
Eleutherodactylidae 	green
Ceuthomantidae   	green
Dendrobatidae     	green
Odontophrynidae   	green
Bufonidae   	green
Allophrynidae	green
Centrolenidae   	green
Leptodactylidae 	green
Hylidae           	green
Ceratophryidae     	green
Hemiphractidae	green
Telmatobiidae   	green
Alsodidae        	green
Batrachylidae    	green
Hylodidae  	green
Cycloramphidae  	green
Myobatrachidae   	green
Calyptocephalellidae	green
Nasikabatrachidae	green
Sooglossidae   	green
Microhylidae     	green
Hemisotidae       	green
Brevicepitidae    	green
Hyperoliidae      	green
Arthroleptidae    	green
Micrixalidae  	green
Ptychadenidae       	green
Phrynobatrachidae	green
Odontobatrachidae	purple
Pyxicephalidae     	green
Petropedetidae    	green
Conrauidae       	green
Ceratobatrachidae  	green
Nyctibatrachidae 	green
Ranixalidae        	green
Dicroglossidae     	green
Rhacophoridae       	green
Mantellidae    	green
Ranidae  	green
